Price,Model_year,Milage,Brand,Model,Fuel_type,Transmission,Accident,Clean_title,condition
26990,2020.0,8625.0,toyota,tacoma access cab sr5,gas,other,Unknown,Clean,good
7000,1969.0,68825.0,ford,thunderbird,gas,automatic,Unknown,Clean,excellent
4500,2014.0,250000.0,ford,f250 xl,gas,automatic,Unknown,Clean,
7495,2011.0,74450.0,,Scion TC,gas,manual,Unknown,Clean,good
7900,1993.0,95000.0,pontiac,firebird trans am,gas,automatic,Unknown,Clean,good
19900,2002.0,42000.0,,maserati spyder,gas,other,Unknown,Clean,excellent
10998,2012.0,129473.0,kia,optima sx,gas,automatic,Unknown,Clean,excellent
37981,2018.0,38831.0,ford,explorer,gas,automatic,Unknown,Clean,
18990,2018.0,31419.0,honda,civic lx sedan 4d,other,other,Unknown,Clean,good
6700,2011.0,104100.0,hyundai,sonata gls,gas,automatic,Unknown,Clean,excellent
11999,2010.0,94067.0,volkswagen,gti,gas,automatic,Unknown,Clean,excellent
19505,2005.0,165004.0,ford,f250 lariat,diesel,automatic,Unknown,Clean,excellent
6995,2004.0,166332.0,ford,f-150 xl 2dr standard cab,gas,automatic,Unknown,Unknown,excellent
33971,2019.0,34214.0,ford,f-150 xlt 2wd supercrew 5.5,other,other,Unknown,Clean,
5900,2001.0,164035.0,chevrolet,tahoe 4x4,gas,automatic,Unknown,Clean,excellent
30590,2019.0,7390.0,mazda,cx-5 signature diesel,diesel,other,Unknown,Clean,good
24992,2017.0,83880.0,audi,q5,gas,automatic,Unknown,Clean,
14500,1949.0,99999.0,,1949 Diamond T,gas,manual,Unknown,Clean,
32995,2016.0,53510.0,ram,1500,gas,automatic,Unknown,Clean,excellent
13500,2014.0,54988.0,nissan,altima 2.5 4dr sedan,gas,automatic,Unknown,Clean,like new
20902,2019.0,35221.0,ford,taurus,gas,other,Unknown,Clean,
8500,1952.0,45000.0,chrysler,town and country,gas,automatic,Unknown,Clean,good
12999,2014.0,137000.0,dodge,charger,gas,automatic,Unknown,Clean,good
34990,2020.0,3181.0,jeep,wrangler sport suv 2d,gas,other,Unknown,Clean,good
16998,2017.0,48993.0,nissan,rogue,gas,automatic,Unknown,Clean,excellent
19999,2017.0,33776.0,kia,optima,hybrid,automatic,Unknown,Clean,like new
5977,2015.0,121875.0,fiat,500 pop,gas,automatic,Unknown,Clean,
22590,2017.0,13672.0,honda,accord ex w/honda sensing,gas,other,Unknown,Clean,good
6950,2006.0,131600.0,toyota,camry solara sle convertible,gas,automatic,Unknown,Unknown,
42590,2019.0,10247.0,kia,k900 luxury sedan 4d,gas,other,Unknown,Clean,good
25990,2018.0,22446.0,ford,fiesta st hatchback 4d,gas,other,Unknown,Clean,good
9999,2014.0,76219.0,chevrolet,cruze,gas,other,Unknown,Clean,
12000,2008.0,196000.0,toyota,4runner,gas,automatic,Unknown,Clean,good
21995,2017.0,90987.0,ford,explorer,gas,automatic,Unknown,Clean,good
4650,2004.0,132198.0,nissan,sentra,other,automatic,Unknown,Clean,
39590,2020.0,1419.0,ford,mustang gt premium coupe 2d,gas,other,Unknown,Clean,good
17900,2018.0,119402.0,chrysler,pacifica,gas,automatic,Unknown,Clean,
19794,2019.0,12172.0,nissan,altima,gas,automatic,Unknown,Clean,like new
14990,2017.0,27724.0,ford,focus electric hatchback 4d,electric,other,Unknown,Clean,good
8950,2008.0,159294.0,infiniti,ex35 journey,gas,automatic,Unknown,Clean,excellent
21900,2016.0,79622.0,jeep,grand cherokee,gas,automatic,Unknown,Clean,
36000,1951.0,37430.0,pontiac,sedan delivery,gas,manual,Unknown,Clean,excellent
10995,2009.0,140501.0,lexus,rx 350,gas,automatic,Unknown,Clean,good
10900,2008.0,197000.0,,yukon denali,gas,automatic,Unknown,Clean,
24590,2018.0,33036.0,nissan,frontier crew cab pro-4x,gas,other,Unknown,Clean,good
11950,2012.0,67000.0,honda,accord,gas,automatic,Unknown,Clean,
9595,2013.0,89189.0,ford,fusion,gas,automatic,Unknown,Clean,like new
10200,2016.0,107220.0,hyundai,elantra se 4dr sedan,gas,automatic,Unknown,Clean,excellent
